timestamp,joint_1,joint_2,joint_3,joint_4,joint_5
0.025721073150634766,473,825,-73,436,503
0.055602312088012695,473,825,-71,435,503
0.0860755443572998,473,824,-52,434,502
0.11583828926086426,473,823,-31,435,503
0.14623141288757324,473,826,-8,436,503
0.1761186122894287,473,827,5,437,503
0.20653581619262695,473,827,4,437,502
0.2364943027496338,473,827,4,438,503
0.26646947860717773,473,826,3,434,503
0.2970144748687744,473,824,1,435,502
0.3266899585723877,473,827,-1,435,503
0.3570396900177002,473,827,-1,435,503
0.38730692863464355,473,827,-1,435,503
0.4170050621032715,473,824,-1,434,503
0.44730591773986816,473,827,-3,434,503
0.47753000259399414,473,827,-3,435,503
0.5078577995300293,473,827,-3,435,503
0.5381698608398438,473,825,-4,435,503
0.5684537887573242,473,827,-4,435,503
0.599090576171875,473,827,-3,435,503
0.6296327114105225,473,827,-3,435,503
0.6596989631652832,473,826,-4,435,503
0.6898369789123535,473,826,-3,435,503
0.7200915813446045,473,826,-3,435,503
0.7500298023223877,473,826,-3,435,503
0.7803070545196533,473,826,-3,435,503
0.810222864151001,473,827,-3,435,503
0.8412282466888428,472,826,-3,435,503
0.8704533576965332,473,826,-3,434,503
0.9008452892303467,473,827,-3,435,503
0.9309494495391846,473,826,-3,435,503
0.9613208770751953,473,826,-3,434,503
0.9914877414703369,473,826,-3,434,503
1.021475076675415,473,827,-3,435,503
1.0516178607940674,473,826,-4,434,503
1.0816681385040283,473,826,-3,435,503
1.1117713451385498,473,827,-4,435,503
1.1415772438049316,473,826,-3,435,503
1.1718087196350098,473,827,-3,435,503
1.2021598815917969,473,826,-3,435,503
1.2321066856384277,473,826,-3,435,503
1.2619857788085938,473,826,-3,435,503
1.2923026084899902,473,826,-3,434,503
1.322634220123291,473,826,-3,435,503
1.3525795936584473,472,827,-4,435,503
1.3825187683105469,473,826,-3,435,503
1.4129416942596436,473,826,-3,435,503
1.442976951599121,473,826,-3,434,503
1.4731054306030273,473,826,-4,434,503
1.50313138961792,473,826,-3,435,503
1.5333583354949951,473,826,-3,435,503
1.5633997917175293,473,826,-3,435,503
1.5936298370361328,472,826,1,434,503
1.6233794689178467,473,826,-3,435,503
1.6537985801696777,473,826,-4,435,502
1.6839523315429688,473,826,-3,435,501
1.713982105255127,473,826,-3,435,501
1.748168706893921,473,826,-3,435,502
1.7783231735229492,473,826,-4,435,502
1.8090224266052246,473,826,-3,435,503
1.8391246795654297,473,826,-4,435,503
1.869384527206421,473,827,-3,435,503
1.8995883464813232,473,826,-4,435,503
1.9296224117279053,473,827,-3,435,503
1.9597556591033936,473,827,-3,435,503
1.9899396896362305,473,826,-3,435,503
2.020265579223633,473,826,-3,435,503
2.050318717956543,473,826,-3,435,503
2.080542802810669,473,826,-3,434,503
2.1106109619140625,473,826,-3,435,503
2.1405446529388428,473,826,-3,435,503
2.170693874359131,473,826,-3,435,503
2.201007604598999,473,826,-3,435,503
2.2311127185821533,472,826,-4,435,503
2.2612133026123047,473,826,-3,434,503
2.291412591934204,473,826,-3,435,503
2.3215558528900146,473,826,-3,435,503
2.351846933364868,473,826,-3,435,503
2.381869077682495,473,827,-3,435,503
2.4122300148010254,473,827,-3,435,503
2.4424006938934326,473,826,-4,435,503
2.47245717048645,473,826,-3,435,503
2.5024144649505615,473,826,-3,435,503
2.532658576965332,473,826,-3,435,503
2.5628199577331543,473,826,-3,435,503
2.593029260635376,473,827,-3,435,503
2.6230602264404297,473,826,-3,435,503
2.6531412601470947,473,826,-3,434,503
2.6830039024353027,473,826,-3,435,503
2.7131025791168213,473,827,-3,435,503
2.74346923828125,473,826,-4,435,503
2.773655652999878,473,826,-4,435,503
2.803769111633301,473,826,1,435,503
2.833568811416626,473,826,-3,435,503
2.8639025688171387,473,826,-3,435,503
2.893934726715088,473,826,-3,435,503
2.9242091178894043,473,826,-4,435,503
2.9541821479797363,473,827,-3,435,503
2.9843485355377197,473,826,-2,434,503
3.014470100402832,473,826,-3,435,503
3.0442421436309814,473,826,-3,435,503
3.074481248855591,473,826,-3,435,503
3.105015516281128,473,826,-3,434,503
3.13677978515625,473,826,-2,435,503
3.1672191619873047,473,826,-3,435,503
3.198150634765625,473,826,-3,434,503
3.2299399375915527,473,826,-3,435,503
3.260864019393921,473,826,-3,435,503
3.295551300048828,473,826,-4,435,503
3.3285090923309326,473,826,-5,435,503
3.361142873764038,473,827,-3,435,503
3.391239643096924,473,826,-3,434,503
3.4213547706604004,473,826,-4,435,503
3.451514720916748,473,826,-3,435,503
3.48180890083313,473,826,-3,434,503
3.5119845867156982,473,826,-3,434,503
3.542149305343628,473,826,-3,435,503
3.5722336769104004,473,826,-3,435,503
3.6025121212005615,472,826,-4,435,503
3.6324198246002197,473,826,-3,435,503
