t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,angle_rad_1,angle_rad_2,angle_rad_3,angle_rad_4,angle_rad_5,torque_state_1,torque_state_2,torque_state_3,torque_state_4,torque_state_5
1767773499.802598,475,686,-1,455,504,-0.104720,-2.349911,2.098584,-1.382301,0.016755,1,1,1,1,1
1767773499.854575,475,682,-1,454,504,-0.104720,-2.333156,2.098584,-1.378112,0.016755,1,1,1,1,1
1767773499.906791,474,681,-2,454,504,-0.108909,-2.328967,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773499.958655,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773500.010786,475,682,-3,455,504,-0.104720,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773500.062934,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.115177,475,682,-3,455,504,-0.104720,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773500.167164,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.219296,474,682,-6,454,504,-0.108909,-2.333156,2.119528,-1.378112,0.016755,1,1,1,1,1
1767773500.271758,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773500.323664,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.375614,474,682,-2,455,504,-0.108909,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773500.427800,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773500.479699,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.531719,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773500.583817,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773500.635714,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773500.688742,474,681,-3,454,504,-0.108909,-2.328967,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.740747,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.792992,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.844880,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773500.897004,474,682,-2,455,504,-0.108909,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773500.949404,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
