t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,deg_1,deg_2,deg_3,deg_4,deg_5
1767774188.037899,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774188.212510,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774188.341902,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774188.547220,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774188.729045,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774188.835513,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774188.947085,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774189.071741,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774189.171807,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774189.360649,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774189.558365,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774189.705058,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774189.807539,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774189.951305,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774190.148833,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774190.254440,474,759,-2,452,504,-6.2400,-152.1600,120.4800,-78.4800,0.9600
1767774190.361170,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774190.537932,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774190.666222,475,759,-2,452,504,-6.0000,-152.1600,120.4800,-78.4800,0.9600
1767774190.812070,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774190.970784,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774191.097048,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774191.316477,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774191.498217,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774191.614020,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774191.786636,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774191.888551,475,759,-6,452,504,-6.0000,-152.1600,121.4400,-78.4800,0.9600
1767774192.085114,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774192.185239,475,759,-4,452,504,-6.0000,-152.1600,120.9600,-78.4800,0.9600
1767774192.351454,475,759,-4,452,504,-6.0000,-152.1600,120.9600,-78.4800,0.9600
1767774192.489235,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774192.613196,475,759,-4,452,504,-6.0000,-152.1600,120.9600,-78.4800,0.9600
1767774192.818156,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774192.933280,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774193.182348,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774193.345483,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774193.543482,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774193.650920,475,759,-6,452,504,-6.0000,-152.1600,121.4400,-78.4800,0.9600
1767774193.788893,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774193.969859,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774194.171377,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774194.347495,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774194.590122,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774194.725954,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774194.892919,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774194.992962,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774195.094572,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774195.194857,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774195.295238,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774195.395520,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774195.495679,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774195.596288,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774195.696407,474,759,-2,452,504,-6.2400,-152.1600,120.4800,-78.4800,0.9600
1767774195.798152,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774195.898704,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774195.999090,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.102279,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.203756,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.304204,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.404369,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.504480,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774196.606075,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.708329,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774196.808794,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774196.909438,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.010011,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.111354,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.212172,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.312850,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.414812,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774197.516554,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.616989,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774197.719216,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774197.820978,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774197.921009,474,759,0,452,504,-6.2400,-152.1600,120.0000,-78.4800,0.9600
1767774198.021145,474,759,-5,452,504,-6.2400,-152.1600,121.2000,-78.4800,0.9600
1767774198.122195,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774198.222352,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774198.322418,475,759,-3,452,504,-6.0000,-152.1600,120.7200,-78.4800,0.9600
1767774198.423619,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774198.523694,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774198.625396,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774198.727575,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774198.828049,474,759,-6,452,504,-6.2400,-152.1600,121.4400,-78.4800,0.9600
1767774198.928337,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774199.030766,474,759,-2,452,504,-6.2400,-152.1600,120.4800,-78.4800,0.9600
1767774199.132792,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
